id,score1,score2,score3,final_score,school_name
161,9.7,9.8,9.8,9.8,Trường THPT Nguyễn Thượng Hiền
162,8.2,8.2,8.2,8.2,Trường THCS Nguyễn Du
163,6.3,5.3,6.6,6.1,Trường THPT Nguyễn Hữu Huân
164,8.8,9.3,9.4,9.2,Trường THPT Gia Định
165,8.8,8.8,8.9,8.8,Trường THPT Trần Phú
166,9.7,9.7,9.9,9.8,Trường THCS Lê Quý Đôn
167,3.7,5.1,5.5,4.8,Trường THCS Đoàn Thị Điểm
168,6.9,5.8,6.2,6.3,THPT Nguyễn Hữu Cầu
169,6.0,5.3,7.2,6.2,Trường THCS Nguyễn Du
170,8.7,8.6,8.7,8.7,Trường THCS Nguyễn Hữu Thọ
171,9.3,9.1,9.2,9.2,Trường THCS Nguyễn Hữu Thọ
172,4.0,3.6,5.8,4.5,THPT Nguyễn Hữu Cầu
173,7.1,6.9,7.9,7.3,Trường THPT Lê Quý Đôn
174,7.2,6.4,7.3,7.0,Trường THCS Nguyễn Du
175,9.7,9.8,9.9,9.8,Trường THCS Lê Quý Đôn
176,9.8,9.8,9.9,9.8,Trường THCS Colette
177,8.7,8.4,8.5,8.5,Trường THPT Gia Định
178,6.2,6.0,6.0,6.1,Trường THPT Bùi Thị Xuân
179,7.8,7.8,8.0,7.9,Trường THCS Nguyễn Du
180,7.3,7.3,7.8,7.5,Trường THCS Đoàn Thị Điểm
181,6.6,5.2,6.2,6.0,Trường THCS Nguyễn Hữu Thọ
182,7.8,7.8,8.3,8.0,Trường THCS Colette
183,7.6,7.5,7.5,7.5,Trường THPT Mạc Đĩnh Chi
184,8.2,8.2,8.0,8.1,Trường THPT Phú Nhuận
185,7.7,7.8,7.5,7.7,Trường THPT Phú Nhuận
186,5.6,6.4,5.8,5.9,Trường THCS Việt Úc
187,9.3,9.4,9.4,9.4,Trường THCS Colette
188,6.7,6.9,7.1,6.9,Trường THCS Nguyễn Du
189,8.9,8.7,8.4,8.7,Trường THCS Lê Quý Đôn
190,9.1,9.0,9.2,9.1,Trường THCS Colette
191,6.6,6.3,6.0,6.3,Trường THCS Đoàn Thị Điểm
192,8.7,8.9,8.5,8.7,Trường THPT Gia Định
193,8.2,8.0,8.2,8.1,Trường THCS Nguyễn Hữu Thọ
194,8.8,8.5,8.9,8.7,Trường THCS Lê Quý Đôn
195,6.4,5.7,5.8,6.0,Trường THCS Đoàn Thị Điểm
196,7.8,7.3,7.8,7.6,Trường THCS Việt Úc
197,9.5,8.8,8.8,9.0,Trường THPT Gia Định
198,8.0,8.0,8.4,8.1,THPT Nguyễn Hữu Cầu
199,9.1,9.3,9.1,9.2,Trường THPT Phú Nhuận
200,8.0,8.3,8.4,8.2,Trường THPT Nguyễn Thượng Hiền
201,7.3,7.5,7.4,7.4,Trường THCS Á Châu
202,6.5,6.1,6.2,6.3,Trường THPT Nguyễn Hữu Huân
203,9.8,9.6,10.0,9.8,Trường THCS Colette
204,8.3,8.4,8.6,8.4,Trường THPT Bùi Thị Xuân
205,4.3,3.5,4.3,4.0,Trường THCS Nguyễn Du
206,9.9,9.8,9.8,9.8,Trường THCS Nguyễn Hữu Thọ
207,6.1,6.4,6.0,6.2,Trường THCS Đoàn Thị Điểm
208,9.4,9.0,9.2,9.2,Trường THPT Nguyễn Thị Minh Khai
209,5.7,5.7,5.5,5.6,Trường THCS Hai Bà Trưng
210,9.7,9.7,9.9,9.8,Trường THPT Nguyễn Thị Minh Khai
211,8.2,7.9,8.1,8.1,Trường THCS Lê Quý Đôn
212,6.8,5.2,5.6,5.9,Trường THCS Đoàn Thị Điểm
213,7.0,6.6,7.5,7.0,Trường THPT Bùi Thị Xuân
214,4.3,5.1,3.5,4.3,Trường THPT Nguyễn Hữu Huân
215,7.2,7.4,7.2,7.3,Trường THCS Lê Quý Đôn
216,5.8,6.0,6.0,5.9,Trường THCS Á Châu
217,7.0,7.0,7.4,7.1,THPT Nguyễn Hữu Cầu
218,7.0,7.1,7.7,7.3,Trường THCS Nguyễn Hữu Thọ
219,6.1,5.8,5.7,5.9,Trường THCS Bạch Đằng
220,8.4,8.7,9.0,8.7,Trường THPT Nguyễn Thượng Hiền
221,6.3,5.6,6.6,6.2,Trường THCS Việt Úc
222,6.9,6.3,7.6,6.9,Trường THPT Gia Định
223,6.1,5.4,6.0,5.8,Trường THCS Á Châu
224,9.2,9.3,9.5,9.3,Trường THPT Nguyễn Thượng Hiền
225,3.7,4.2,5.7,4.5,Trường THPT Mạc Đĩnh Chi
226,8.2,7.6,8.2,8.0,Trường THCS Lê Quý Đôn
227,5.6,6.4,5.9,6.0,Trường THCS Á Châu
228,7.1,6.4,7.2,6.9,THPT Nguyễn Hữu Cầu
229,8.3,8.3,8.6,8.4,Trường THPT Nguyễn Thượng Hiền
230,8.1,7.4,7.7,7.7,Trường THCS Lê Quý Đôn
231,9.5,9.0,9.4,9.3,Trường THCS Lê Quý Đôn
232,9.7,9.6,9.7,9.7,Trường THPT Nguyễn Thượng Hiền
233,7.5,7.2,7.9,7.5,Trường THCS Việt Úc
234,6.9,7.0,7.0,7.0,Trường THCS Trần Văn Ơn
235,8.5,8.4,8.4,8.4,Trường THPT Gia Định
236,7.4,7.7,7.8,7.6,Trường THPT Bùi Thị Xuân
237,9.3,8.8,9.3,9.1,Trường THCS Nguyễn Hữu Thọ
238,8.6,8.5,8.6,8.6,Trường THCS Việt Úc
239,6.7,6.9,7.2,6.9,Trường THPT Trần Phú
240,6.0,5.5,5.5,5.7,Trường THCS Việt Úc
241,6.5,5.1,6.0,5.9,Trường THCS Nguyễn Du
242,8.2,8.1,8.1,8.1,Trường THPT Phú Nhuận
243,9.7,9.6,10.0,9.8,Trường THPT Gia Định
244,7.5,7.4,7.8,7.6,Trường THCS Á Châu
245,9.5,9.1,9.3,9.3,Trường THCS Lê Quý Đôn
246,8.4,8.8,8.8,8.7,Trường THCS Lê Quý Đôn
247,6.8,6.1,7.5,6.8,Trường THCS Đoàn Thị Điểm
248,8.1,8.0,8.3,8.1,THPT Nguyễn Hữu Cầu
249,8.2,8.0,8.2,8.1,Trường THPT Gia Định
250,7.6,8.2,7.7,7.8,Trường THCS Hai Bà Trưng
251,6.6,5.7,5.7,6.0,Trường THCS Bạch Đằng
252,9.6,9.7,10.0,9.8,Trường THPT Nguyễn Thị Minh Khai
253,3.1,4.0,6.0,4.4,THPT Nguyễn Hữu Cầu
254,6.8,6.4,7.2,6.8,Trường THCS Hai Bà Trưng
255,7.9,7.9,8.0,7.9,Trường THCS Lê Quý Đôn
256,6.3,5.4,7.0,6.2,Trường THCS Đoàn Thị Điểm
257,8.0,8.5,8.5,8.3,Trường THPT Bùi Thị Xuân
258,6.3,3.2,6.5,5.3,THPT Nguyễn Hữu Cầu
259,8.1,8.0,8.4,8.2,Trường THCS Hai Bà Trưng
260,8.1,8.1,8.0,8.1,Trường THCS Á Châu
261,7.5,7.5,7.9,7.6,Trường THCS Việt Úc
262,6.8,7.1,7.0,7.0,Trường THCS Bạch Đằng
263,2.7,4.9,4.4,4.0,Trường THPT Mạc Đĩnh Chi
264,8.6,8.6,8.7,8.6,Trường THPT Gia Định
265,9.6,9.2,9.2,9.3,Trường THCS Lê Quý Đôn
266,7.3,7.7,8.3,7.8,Trường THCS Colette
267,5.9,5.5,6.1,5.8,THPT Nguyễn Hữu Cầu
268,7.5,7.2,7.7,7.5,Trường THPT Trần Phú
269,8.2,7.9,8.5,8.2,Trường THCS Lê Quý Đôn
270,8.5,8.5,9.1,8.7,Trường THCS Nguyễn Hữu Thọ
271,8.4,8.0,8.2,8.2,Trường THPT Nguyễn Thị Minh Khai
272,4.9,3.5,5.6,4.7,Trường THPT Lê Quý Đôn
273,5.4,2.9,4.9,4.4,Trường THCS Nguyễn Du
274,5.2,6.4,6.4,6.0,Trường THCS Nguyễn Du
275,9.1,9.1,9.6,9.3,Trường THPT Nguyễn Thượng Hiền
276,7.5,6.8,8.1,7.5,Trường THCS Nguyễn Hữu Thọ
277,6.0,5.8,5.7,5.8,Trường THPT Phú Nhuận
278,8.5,8.6,8.8,8.6,Trường THPT Gia Định
279,7.2,6.8,7.3,7.1,Trường THPT Bùi Thị Xuân
280,7.4,7.3,7.9,7.5,Trường THPT Trần Phú
281,7.0,6.6,7.0,6.9,Trường THPT Bùi Thị Xuân
282,9.8,9.7,9.9,9.8,Trường THPT Nguyễn Thị Minh Khai
283,5.5,4.7,5.7,5.3,Trường THPT Gia Định
284,4.4,3.2,4.2,3.9,Trường THCS Nguyễn Du
285,4.1,4.9,5.1,4.7,Trường THPT Lê Quý Đôn
286,7.2,6.8,7.8,7.3,Trường THPT Mạc Đĩnh Chi
287,8.2,8.0,8.2,8.1,Trường THCS Trần Văn Ơn
288,8.5,8.5,8.8,8.6,Trường THPT Nguyễn Hữu Huân
289,8.7,8.6,8.8,8.7,Trường THCS Lê Quý Đôn
290,7.6,7.8,8.3,7.9,Trường THCS Nguyễn Hữu Thọ
291,7.8,7.6,7.8,7.7,THPT Nguyễn Hữu Cầu
292,7.3,7.0,7.3,7.2,Trường THCS Trần Văn Ơn
293,6.3,5.5,5.9,5.9,Trường THCS Bạch Đằng
294,8.5,8.6,8.8,8.6,Trường THCS Hai Bà Trưng
295,5.6,5.8,6.4,5.9,Trường THPT Lê Quý Đôn
296,7.1,6.5,7.4,7.0,Trường THPT Gia Định
297,5.6,5.7,6.1,5.8,Trường THCS Đoàn Thị Điểm
298,6.8,6.9,7.4,7.0,Trường THCS Bạch Đằng
299,9.0,8.9,9.1,9.0,Trường THPT Nguyễn Thị Minh Khai
300,5.9,6.3,6.3,6.2,THPT Nguyễn Hữu Cầu
301,7.1,6.9,7.4,7.1,Trường THCS Colette
302,9.0,9.0,9.5,9.2,Trường THCS Á Châu
303,7.0,7.0,6.8,6.9,Trường THCS Nguyễn Du
304,7.8,8.5,8.3,8.2,Trường THPT Phú Nhuận
305,9.8,9.6,9.8,9.7,Trường THCS Colette
306,6.9,7.4,7.9,7.4,Trường THPT Nguyễn Hữu Huân
307,5.7,6.2,6.8,6.2,Trường THPT Lê Quý Đôn
308,6.9,6.7,7.3,7.0,Trường THPT Phú Nhuận
309,9.0,9.2,8.9,9.0,Trường THCS Lê Quý Đôn
310,7.9,7.4,7.7,7.7,Trường THCS Á Châu
311,5.0,3.9,4.6,4.5,Trường THCS Bạch Đằng
312,6.1,6.2,6.3,6.2,Trường THPT Phú Nhuận
313,6.1,6.3,6.2,6.2,Trường THCS Bạch Đằng
314,7.0,7.1,6.9,7.0,THPT Nguyễn Hữu Cầu
315,9.5,8.9,9.5,9.3,Trường THPT Nguyễn Thị Minh Khai
316,6.7,7.0,7.4,7.0,THPT Nguyễn Hữu Cầu
317,7.7,7.2,8.0,7.6,Trường THCS Á Châu
318,7.3,6.4,7.0,6.9,Trường THCS Lê Quý Đôn
319,6.2,5.9,6.0,6.0,Trường THCS Bạch Đằng
320,7.5,7.8,8.0,7.8,Trường THPT Mạc Đĩnh Chi
321,6.5,6.6,7.1,6.7,Trường THCS Á Châu
322,8.1,8.2,8.3,8.2,Trường THCS Hai Bà Trưng
323,8.2,7.6,8.2,8.0,Trường THCS Việt Úc
324,5.6,5.9,5.8,5.8,Trường THPT Phú Nhuận
325,6.9,6.6,8.1,7.2,Trường THPT Nguyễn Thị Minh Khai
326,7.0,6.7,6.9,6.9,Trường THPT Phú Nhuận
327,8.1,8.1,8.4,8.2,Trường THPT Phú Nhuận
328,6.3,6.0,6.6,6.3,Trường THCS Lê Quý Đôn
329,7.0,5.7,6.1,6.3,Trường THCS Đoàn Thị Điểm
330,7.5,7.3,8.0,7.6,Trường THPT Nguyễn Hữu Huân
331,8.9,8.4,8.9,8.7,Trường THPT Nguyễn Thượng Hiền
332,8.3,8.2,8.3,8.3,Trường THPT Bùi Thị Xuân
333,9.0,8.4,8.5,8.6,Trường THPT Gia Định
334,8.5,9.1,8.5,8.7,Trường THPT Nguyễn Thị Minh Khai
335,6.4,5.9,5.8,6.0,Trường THPT Trần Phú
336,7.2,7.6,7.8,7.5,Trường THCS Việt Úc
337,8.1,8.1,8.5,8.2,Trường THPT Nguyễn Thượng Hiền
338,7.1,7.1,7.6,7.3,Trường THCS Hai Bà Trưng
339,6.5,6.4,7.0,6.6,Trường THCS Colette
340,7.5,8.1,7.5,7.7,Trường THCS Đoàn Thị Điểm
341,7.8,7.7,7.8,7.8,Trường THCS Colette
342,5.7,6.1,6.8,6.2,Trường THCS Nguyễn Du
343,7.6,7.4,7.6,7.5,Trường THCS Colette
344,6.4,6.3,6.3,6.3,Trường THCS Nguyễn Du
345,5.9,4.7,6.5,5.7,Trường THPT Mạc Đĩnh Chi
346,8.6,8.6,8.7,8.6,Trường THPT Gia Định
347,7.3,7.7,8.0,7.7,Trường THCS Nguyễn Hữu Thọ
348,5.3,6.3,6.0,5.9,Trường THCS Việt Úc
349,6.8,6.3,6.9,6.7,Trường THPT Nguyễn Hữu Huân
350,7.1,6.8,7.4,7.1,Trường THCS Nguyễn Du
351,5.9,5.1,7.0,6.0,Trường THPT Bùi Thị Xuân
352,8.3,8.1,8.1,8.2,Trường THPT Bùi Thị Xuân
353,9.8,9.6,9.9,9.8,Trường THCS Nguyễn Hữu Thọ
354,9.1,8.5,8.7,8.8,Trường THCS Lê Quý Đôn
355,6.9,6.0,6.8,6.6,Trường THCS Nguyễn Du
356,7.7,7.4,7.5,7.5,Trường THCS Colette
357,7.6,7.7,7.0,7.4,Trường THPT Gia Định
358,8.1,8.1,8.3,8.2,Trường THCS Colette
359,6.3,5.9,6.5,6.2,Trường THCS Nguyễn Du
360,8.5,8.6,8.9,8.7,Trường THCS Nguyễn Hữu Thọ
361,8.1,7.7,8.3,8.0,Trường THCS Nguyễn Hữu Thọ
362,7.0,7.8,7.4,7.4,Trường THCS Hai Bà Trưng
363,7.8,7.2,7.9,7.6,Trường THCS Trần Văn Ơn
364,6.9,7.0,7.6,7.2,Trường THPT Trần Phú
365,7.2,7.7,7.9,7.6,Trường THPT Phú Nhuận
366,7.2,6.7,7.4,7.1,Trường THPT Lê Quý Đôn
367,7.4,7.0,7.6,7.3,Trường THCS Đoàn Thị Điểm
368,5.2,3.8,4.4,4.5,Trường THCS Đoàn Thị Điểm
369,7.5,7.6,7.8,7.6,Trường THCS Đoàn Thị Điểm
370,8.9,8.3,9.4,8.9,Trường THCS Việt Úc
371,9.2,8.7,8.6,8.8,Trường THCS Trần Văn Ơn
372,7.2,6.9,7.1,7.1,Trường THPT Lê Quý Đôn
373,8.6,8.0,8.9,8.5,Trường THPT Nguyễn Thị Minh Khai
374,9.0,8.9,9.3,9.1,Trường THCS Lê Quý Đôn
375,8.6,8.5,9.1,8.7,Trường THCS Việt Úc
376,6.3,5.2,6.4,6.0,Trường THCS Bạch Đằng
377,6.8,6.6,7.3,6.9,Trường THCS Hai Bà Trưng
378,8.0,8.4,8.5,8.3,Trường THPT Nguyễn Thị Minh Khai
379,9.1,9.3,9.3,9.2,Trường THPT Nguyễn Thượng Hiền
380,9.0,8.4,8.3,8.6,Trường THPT Trần Phú
381,7.4,6.5,7.5,7.1,THPT Nguyễn Hữu Cầu
382,6.8,6.7,7.3,6.9,Trường THCS Á Châu
383,8.8,8.4,9.1,8.8,Trường THPT Nguyễn Thượng Hiền
384,8.6,8.4,8.0,8.3,Trường THCS Hai Bà Trưng
385,9.5,9.0,9.6,9.4,Trường THCS Nguyễn Hữu Thọ
386,7.4,6.7,7.0,7.0,Trường THPT Lê Quý Đôn
387,5.5,6.0,6.5,6.0,Trường THCS Trần Văn Ơn
388,7.8,8.2,8.3,8.1,Trường THCS Việt Úc
389,8.0,8.2,8.2,8.1,Trường THCS Nguyễn Du
390,7.9,8.3,8.5,8.2,Trường THPT Nguyễn Thượng Hiền
391,6.9,7.0,6.8,6.9,Trường THPT Nguyễn Hữu Huân
392,6.0,6.0,6.0,6.0,Trường THPT Gia Định
393,8.6,8.6,8.8,8.7,Trường THCS Colette
394,8.0,8.5,8.3,8.3,Trường THPT Bùi Thị Xuân
395,7.5,8.0,8.3,7.9,Trường THCS Việt Úc
396,7.8,7.9,7.3,7.7,Trường THPT Gia Định
397,7.4,7.8,7.3,7.5,Trường THPT Nguyễn Thị Minh Khai
398,8.7,8.4,8.9,8.7,Trường THCS Đoàn Thị Điểm
399,8.5,8.8,8.8,8.7,Trường THPT Bùi Thị Xuân
400,9.9,9.7,9.9,9.8,Trường THCS Nguyễn Hữu Thọ
401,8.6,8.4,8.7,8.6,Trường THPT Nguyễn Thượng Hiền
