id,score1,score2,score3,final_score,school_name,school_encoded,cluster,xep_loai
48,8.0,8.3,8.0,8.1,THPT Nguyễn Hữu Cầu,1.0,2,Khá
49,8.6,8.9,8.6,8.7,Trường THPT Gia Định,17.0,0,Xuất sắc
50,8.8,8.6,8.8,8.7,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
51,8.2,7.9,8.0,8.0,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
52,5.5,5.8,7.2,6.2,Trường THCS Bạch Đằng,4.0,4,Trung bình
53,7.9,8.0,7.5,7.8,Trường THCS Á Châu,6.0,2,Khá
54,6.0,5.4,6.1,5.8,Trường THCS Bạch Đằng,4.0,4,Trung bình
55,8.3,8.0,8.4,8.2,Trường THCS Hai Bà Trưng,12.0,3,Giỏi
56,6.6,6.1,6.8,6.5,Trường THPT Mạc Đĩnh Chi,3.0,4,Trung bình
57,8.1,8.1,8.1,8.1,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
58,4.9,3.0,4.4,4.1,Trường THPT Lê Quý Đôn,5.0,1,Yếu
59,8.8,8.7,9.0,8.8,Trường THCS Việt Úc,8.0,0,Xuất sắc
60,9.0,9.2,8.7,9.0,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
61,9.5,8.8,9.3,9.2,Trường THCS Colette,16.0,0,Xuất sắc
62,6.6,4.5,5.6,5.6,Trường THPT Mạc Đĩnh Chi,3.0,4,Trung bình
63,6.3,7.1,7.7,7.0,Trường THPT Nguyễn Thị Minh Khai,15.0,3,Giỏi
64,9.6,9.8,10.0,9.8,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
65,9.1,8.8,9.5,9.1,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
66,6.0,5.3,6.5,5.9,Trường THPT Mạc Đĩnh Chi,3.0,4,Trung bình
67,8.9,8.3,8.8,8.7,Trường THPT Nguyễn Hữu Huân,13.0,0,Xuất sắc
68,5.0,4.8,5.2,5.0,Trường THCS Nguyễn Du,2.0,1,Yếu
69,7.2,7.0,6.8,7.0,Trường THPT Mạc Đĩnh Chi,3.0,2,Khá
70,8.5,8.6,9.1,8.7,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
71,7.1,7.2,8.0,7.4,Trường THCS Việt Úc,8.0,2,Khá
72,9.2,9.0,9.4,9.2,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
73,8.2,7.8,8.2,8.1,Trường THPT Nguyễn Thị Minh Khai,15.0,3,Giỏi
74,8.6,8.4,9.0,8.7,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
75,8.5,8.8,8.7,8.7,Trường THPT Bùi Thị Xuân,11.0,0,Xuất sắc
76,5.7,5.3,6.3,5.8,Trường THCS Đoàn Thị Điểm,0.0,4,Trung bình
77,9.4,9.0,9.1,9.2,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
78,6.8,7.0,6.8,6.9,Trường THPT Bùi Thị Xuân,11.0,2,Khá
79,6.0,6.4,5.8,6.1,Trường THPT Phú Nhuận,9.0,4,Trung bình
80,8.9,8.5,8.9,8.8,Trường THCS Colette,16.0,0,Xuất sắc
81,4.5,3.9,5.3,4.6,THPT Nguyễn Hữu Cầu,1.0,1,Yếu
82,9.1,9.2,9.0,9.1,Trường THPT Gia Định,17.0,0,Xuất sắc
83,7.8,7.5,7.8,7.7,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
84,8.3,7.9,8.4,8.2,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
85,7.4,6.9,7.5,7.3,Trường THPT Mạc Đĩnh Chi,3.0,2,Khá
86,8.1,8.1,8.3,8.2,Trường THPT Phú Nhuận,9.0,3,Giỏi
87,8.3,7.8,7.7,7.9,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
88,8.0,8.2,8.2,8.1,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
89,3.9,5.3,4.1,4.4,Trường THCS Bạch Đằng,4.0,1,Yếu
90,6.0,5.1,6.1,5.7,Trường THCS Nguyễn Du,2.0,4,Trung bình
91,7.1,7.1,7.5,7.2,Trường THPT Bùi Thị Xuân,11.0,2,Khá
92,6.8,6.0,6.6,6.5,Trường THPT Phú Nhuận,9.0,4,Trung bình
93,5.3,4.2,6.5,5.3,Trường THCS Nguyễn Du,2.0,4,Trung bình
94,9.1,9.0,9.2,9.1,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
95,8.1,8.0,8.2,8.1,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
96,8.0,8.5,8.6,8.4,Trường THPT Trần Phú,7.0,2,Khá
97,3.4,3.5,4.8,3.9,Trường THCS Việt Úc,8.0,1,Yếu
98,6.0,5.5,6.3,5.9,Trường THCS Bạch Đằng,4.0,4,Trung bình
99,6.1,5.9,6.4,6.1,Trường THCS Nguyễn Du,2.0,4,Trung bình
100,7.0,6.8,7.3,7.0,Trường THPT Mạc Đĩnh Chi,3.0,2,Khá
101,9.0,8.9,9.1,9.0,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
102,7.8,7.9,7.4,7.7,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
103,7.3,7.6,7.6,7.5,Trường THPT Trần Phú,7.0,2,Khá
104,6.2,6.7,6.1,6.3,THPT Nguyễn Hữu Cầu,1.0,4,Trung bình
105,7.1,6.8,7.4,7.1,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
106,8.8,8.3,8.9,8.7,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
107,8.9,8.8,8.7,8.8,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
108,6.2,5.7,6.0,6.0,Trường THPT Bùi Thị Xuân,11.0,4,Trung bình
109,4.0,2.7,5.6,4.1,THPT Nguyễn Hữu Cầu,1.0,1,Yếu
110,8.4,8.6,8.8,8.6,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
111,7.4,7.3,8.0,7.6,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
112,7.2,6.3,7.4,7.0,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
113,8.3,7.9,8.3,8.2,Trường THCS Á Châu,6.0,2,Khá
114,9.5,8.6,8.9,9.0,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
115,5.8,5.3,6.6,5.9,Trường THCS Bạch Đằng,4.0,4,Trung bình
116,8.1,7.9,8.2,8.1,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
117,6.0,4.8,6.0,5.6,THPT Nguyễn Hữu Cầu,1.0,4,Trung bình
118,9.1,9.0,9.5,9.2,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
119,8.4,8.3,8.4,8.4,Trường THPT Nguyễn Thị Minh Khai,15.0,3,Giỏi
120,8.1,8.1,8.2,8.1,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
121,7.2,6.5,7.0,6.9,Trường THCS Á Châu,6.0,2,Khá
122,7.8,8.0,8.8,8.2,Trường THCS Hai Bà Trưng,12.0,3,Giỏi
123,4.7,5.6,6.5,5.6,Trường THPT Mạc Đĩnh Chi,3.0,4,Trung bình
124,7.1,7.8,7.4,7.4,Trường THCS Trần Văn Ơn,10.0,2,Khá
125,8.1,7.8,8.2,8.0,Trường THPT Nguyễn Hữu Huân,13.0,3,Giỏi
126,7.8,7.2,7.6,7.5,Trường THPT Gia Định,17.0,3,Giỏi
127,8.3,8.3,8.0,8.2,Trường THCS Á Châu,6.0,2,Khá
128,8.0,8.0,8.0,8.0,Trường THCS Colette,16.0,3,Giỏi
129,5.6,4.1,3.9,4.5,Trường THPT Mạc Đĩnh Chi,3.0,1,Yếu
130,9.3,9.3,9.4,9.3,Trường THPT Gia Định,17.0,0,Xuất sắc
131,6.5,6.9,7.2,6.9,Trường THCS Nguyễn Du,2.0,2,Khá
132,8.2,8.1,8.6,8.3,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
133,8.9,8.8,9.1,8.9,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
134,7.4,7.9,8.0,7.8,Trường THPT Gia Định,17.0,3,Giỏi
135,5.8,5.7,6.6,6.0,Trường THCS Đoàn Thị Điểm,0.0,4,Trung bình
136,4.2,3.7,4.3,4.1,THPT Nguyễn Hữu Cầu,1.0,1,Yếu
137,9.8,9.7,9.9,9.8,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
138,6.8,7.0,6.9,6.9,Trường THPT Nguyễn Hữu Huân,13.0,3,Giỏi
139,8.7,8.6,9.0,8.8,Trường THCS Việt Úc,8.0,0,Xuất sắc
140,5.6,6.2,6.8,6.2,THPT Nguyễn Hữu Cầu,1.0,4,Trung bình
141,9.9,9.7,9.9,9.8,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
142,6.2,6.1,6.5,6.3,Trường THPT Lê Quý Đôn,5.0,4,Trung bình
143,6.9,7.0,7.1,7.0,Trường THCS Trần Văn Ơn,10.0,2,Khá
144,9.6,9.6,9.8,9.7,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
145,6.4,5.0,6.4,5.9,Trường THCS Nguyễn Du,2.0,4,Trung bình
146,6.5,6.5,7.6,6.9,Trường THPT Lê Quý Đôn,5.0,2,Khá
147,8.1,7.3,7.1,7.5,Trường THCS Hai Bà Trưng,12.0,3,Giỏi
148,8.7,8.8,9.4,9.0,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
149,9.5,9.2,9.1,9.3,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
150,7.9,7.4,7.3,7.5,Trường THPT Trần Phú,7.0,2,Khá
151,6.9,6.8,7.1,6.9,Trường THCS Việt Úc,8.0,2,Khá
152,6.8,6.0,7.4,6.7,Trường THCS Á Châu,6.0,2,Khá
153,8.3,8.1,8.6,8.3,Trường THPT Nguyễn Hữu Huân,13.0,3,Giỏi
154,6.7,6.3,6.2,6.4,Trường THCS Bạch Đằng,4.0,4,Trung bình
155,7.6,7.3,7.4,7.4,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
156,7.0,7.0,6.7,6.9,Trường THCS Á Châu,6.0,2,Khá
157,7.4,7.5,7.5,7.5,Trường THCS Colette,16.0,3,Giỏi
158,9.7,9.9,10.0,9.9,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
159,8.2,7.5,7.8,7.8,Trường THCS Việt Úc,8.0,2,Khá
160,8.3,8.3,8.4,8.3,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
161,9.7,9.8,9.8,9.8,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
162,8.2,8.2,8.2,8.2,Trường THCS Nguyễn Du,2.0,2,Khá
163,6.3,5.3,6.6,6.1,Trường THPT Nguyễn Hữu Huân,13.0,4,Trung bình
164,8.8,9.3,9.4,9.2,Trường THPT Gia Định,17.0,0,Xuất sắc
165,8.8,8.8,8.9,8.8,Trường THPT Trần Phú,7.0,0,Xuất sắc
166,9.7,9.7,9.9,9.8,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
167,3.7,5.1,5.5,4.8,Trường THCS Đoàn Thị Điểm,0.0,1,Yếu
168,6.9,5.8,6.2,6.3,THPT Nguyễn Hữu Cầu,1.0,4,Trung bình
169,6.0,5.3,7.2,6.2,Trường THCS Nguyễn Du,2.0,4,Trung bình
170,8.7,8.6,8.7,8.7,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
171,9.3,9.1,9.2,9.2,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
172,4.0,3.6,5.8,4.5,THPT Nguyễn Hữu Cầu,1.0,1,Yếu
173,7.1,6.9,7.9,7.3,Trường THPT Lê Quý Đôn,5.0,2,Khá
174,7.2,6.4,7.3,7.0,Trường THCS Nguyễn Du,2.0,2,Khá
175,9.7,9.8,9.9,9.8,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
176,9.8,9.8,9.9,9.8,Trường THCS Colette,16.0,0,Xuất sắc
177,8.7,8.4,8.5,8.5,Trường THPT Gia Định,17.0,0,Xuất sắc
178,6.2,6.0,6.0,6.1,Trường THPT Bùi Thị Xuân,11.0,4,Trung bình
179,7.8,7.8,8.0,7.9,Trường THCS Nguyễn Du,2.0,2,Khá
180,7.3,7.3,7.8,7.5,Trường THCS Đoàn Thị Điểm,0.0,2,Khá
181,6.6,5.2,6.2,6.0,Trường THCS Nguyễn Hữu Thọ,14.0,4,Trung bình
182,7.8,7.8,8.3,8.0,Trường THCS Colette,16.0,3,Giỏi
183,7.6,7.5,7.5,7.5,Trường THPT Mạc Đĩnh Chi,3.0,2,Khá
184,8.2,8.2,8.0,8.1,Trường THPT Phú Nhuận,9.0,3,Giỏi
185,7.7,7.8,7.5,7.7,Trường THPT Phú Nhuận,9.0,2,Khá
186,5.6,6.4,5.8,5.9,Trường THCS Việt Úc,8.0,4,Trung bình
187,9.3,9.4,9.4,9.4,Trường THCS Colette,16.0,0,Xuất sắc
188,6.7,6.9,7.1,6.9,Trường THCS Nguyễn Du,2.0,2,Khá
189,8.9,8.7,8.4,8.7,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
190,9.1,9.0,9.2,9.1,Trường THCS Colette,16.0,0,Xuất sắc
191,6.6,6.3,6.0,6.3,Trường THCS Đoàn Thị Điểm,0.0,4,Trung bình
192,8.7,8.9,8.5,8.7,Trường THPT Gia Định,17.0,0,Xuất sắc
193,8.2,8.0,8.2,8.1,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
194,8.8,8.5,8.9,8.7,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
195,6.4,5.7,5.8,6.0,Trường THCS Đoàn Thị Điểm,0.0,4,Trung bình
196,7.8,7.3,7.8,7.6,Trường THCS Việt Úc,8.0,2,Khá
197,9.5,8.8,8.8,9.0,Trường THPT Gia Định,17.0,0,Xuất sắc
198,8.0,8.0,8.4,8.1,THPT Nguyễn Hữu Cầu,1.0,2,Khá
199,9.1,9.3,9.1,9.2,Trường THPT Phú Nhuận,9.0,0,Xuất sắc
200,8.0,8.3,8.4,8.2,Trường THPT Nguyễn Thượng Hiền,19.0,3,Giỏi
201,7.3,7.5,7.4,7.4,Trường THCS Á Châu,6.0,2,Khá
202,6.5,6.1,6.2,6.3,Trường THPT Nguyễn Hữu Huân,13.0,4,Trung bình
203,9.8,9.6,10.0,9.8,Trường THCS Colette,16.0,0,Xuất sắc
204,8.3,8.4,8.6,8.4,Trường THPT Bùi Thị Xuân,11.0,3,Giỏi
205,4.3,3.5,4.3,4.0,Trường THCS Nguyễn Du,2.0,1,Yếu
206,9.9,9.8,9.8,9.8,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
207,6.1,6.4,6.0,6.2,Trường THCS Đoàn Thị Điểm,0.0,4,Trung bình
208,9.4,9.0,9.2,9.2,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
209,5.7,5.7,5.5,5.6,Trường THCS Hai Bà Trưng,12.0,4,Trung bình
210,9.7,9.7,9.9,9.8,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
211,8.2,7.9,8.1,8.1,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
212,6.8,5.2,5.6,5.9,Trường THCS Đoàn Thị Điểm,0.0,4,Trung bình
213,7.0,6.6,7.5,7.0,Trường THPT Bùi Thị Xuân,11.0,2,Khá
214,4.3,5.1,3.5,4.3,Trường THPT Nguyễn Hữu Huân,13.0,1,Yếu
215,7.2,7.4,7.2,7.3,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
216,5.8,6.0,6.0,5.9,Trường THCS Á Châu,6.0,4,Trung bình
217,7.0,7.0,7.4,7.1,THPT Nguyễn Hữu Cầu,1.0,2,Khá
218,7.0,7.1,7.7,7.3,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
219,6.1,5.8,5.7,5.9,Trường THCS Bạch Đằng,4.0,4,Trung bình
220,8.4,8.7,9.0,8.7,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
221,6.3,5.6,6.6,6.2,Trường THCS Việt Úc,8.0,4,Trung bình
222,6.9,6.3,7.6,6.9,Trường THPT Gia Định,17.0,3,Giỏi
223,6.1,5.4,6.0,5.8,Trường THCS Á Châu,6.0,4,Trung bình
224,9.2,9.3,9.5,9.3,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
225,3.7,4.2,5.7,4.5,Trường THPT Mạc Đĩnh Chi,3.0,1,Yếu
226,8.2,7.6,8.2,8.0,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
227,5.6,6.4,5.9,6.0,Trường THCS Á Châu,6.0,4,Trung bình
228,7.1,6.4,7.2,6.9,THPT Nguyễn Hữu Cầu,1.0,2,Khá
229,8.3,8.3,8.6,8.4,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
230,8.1,7.4,7.7,7.7,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
231,9.5,9.0,9.4,9.3,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
232,9.7,9.6,9.7,9.7,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
233,7.5,7.2,7.9,7.5,Trường THCS Việt Úc,8.0,2,Khá
234,6.9,7.0,7.0,7.0,Trường THCS Trần Văn Ơn,10.0,2,Khá
235,8.5,8.4,8.4,8.4,Trường THPT Gia Định,17.0,3,Giỏi
236,7.4,7.7,7.8,7.6,Trường THPT Bùi Thị Xuân,11.0,3,Giỏi
237,9.3,8.8,9.3,9.1,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
238,8.6,8.5,8.6,8.6,Trường THCS Việt Úc,8.0,0,Xuất sắc
239,6.7,6.9,7.2,6.9,Trường THPT Trần Phú,7.0,2,Khá
240,6.0,5.5,5.5,5.7,Trường THCS Việt Úc,8.0,4,Trung bình
241,6.5,5.1,6.0,5.9,Trường THCS Nguyễn Du,2.0,4,Trung bình
242,8.2,8.1,8.1,8.1,Trường THPT Phú Nhuận,9.0,3,Giỏi
243,9.7,9.6,10.0,9.8,Trường THPT Gia Định,17.0,0,Xuất sắc
244,7.5,7.4,7.8,7.6,Trường THCS Á Châu,6.0,2,Khá
245,9.5,9.1,9.3,9.3,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
246,8.4,8.8,8.8,8.7,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
247,6.8,6.1,7.5,6.8,Trường THCS Đoàn Thị Điểm,0.0,2,Khá
248,8.1,8.0,8.3,8.1,THPT Nguyễn Hữu Cầu,1.0,2,Khá
249,8.2,8.0,8.2,8.1,Trường THPT Gia Định,17.0,3,Giỏi
250,7.6,8.2,7.7,7.8,Trường THCS Hai Bà Trưng,12.0,3,Giỏi
251,6.6,5.7,5.7,6.0,Trường THCS Bạch Đằng,4.0,4,Trung bình
252,9.6,9.7,10.0,9.8,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
253,3.1,4.0,6.0,4.4,THPT Nguyễn Hữu Cầu,1.0,1,Yếu
254,6.8,6.4,7.2,6.8,Trường THCS Hai Bà Trưng,12.0,2,Khá
255,7.9,7.9,8.0,7.9,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
256,6.3,5.4,7.0,6.2,Trường THCS Đoàn Thị Điểm,0.0,4,Trung bình
257,8.0,8.5,8.5,8.3,Trường THPT Bùi Thị Xuân,11.0,3,Giỏi
258,6.3,3.2,6.5,5.3,THPT Nguyễn Hữu Cầu,1.0,4,Trung bình
259,8.1,8.0,8.4,8.2,Trường THCS Hai Bà Trưng,12.0,3,Giỏi
260,8.1,8.1,8.0,8.1,Trường THCS Á Châu,6.0,2,Khá
261,7.5,7.5,7.9,7.6,Trường THCS Việt Úc,8.0,2,Khá
262,6.8,7.1,7.0,7.0,Trường THCS Bạch Đằng,4.0,2,Khá
263,2.7,4.9,4.4,4.0,Trường THPT Mạc Đĩnh Chi,3.0,1,Yếu
264,8.6,8.6,8.7,8.6,Trường THPT Gia Định,17.0,0,Xuất sắc
265,9.6,9.2,9.2,9.3,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
266,7.3,7.7,8.3,7.8,Trường THCS Colette,16.0,3,Giỏi
267,5.9,5.5,6.1,5.8,THPT Nguyễn Hữu Cầu,1.0,4,Trung bình
268,7.5,7.2,7.7,7.5,Trường THPT Trần Phú,7.0,2,Khá
269,8.2,7.9,8.5,8.2,Trường THCS Lê Quý Đôn,18.0,3,Giỏi
270,8.5,8.5,9.1,8.7,Trường THCS Nguyễn Hữu Thọ,14.0,0,Xuất sắc
271,8.4,8.0,8.2,8.2,Trường THPT Nguyễn Thị Minh Khai,15.0,3,Giỏi
272,4.9,3.5,5.6,4.7,Trường THPT Lê Quý Đôn,5.0,1,Yếu
273,5.4,2.9,4.9,4.4,Trường THCS Nguyễn Du,2.0,1,Yếu
274,5.2,6.4,6.4,6.0,Trường THCS Nguyễn Du,2.0,4,Trung bình
275,9.1,9.1,9.6,9.3,Trường THPT Nguyễn Thượng Hiền,19.0,0,Xuất sắc
276,7.5,6.8,8.1,7.5,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
277,6.0,5.8,5.7,5.8,Trường THPT Phú Nhuận,9.0,4,Trung bình
278,8.5,8.6,8.8,8.6,Trường THPT Gia Định,17.0,0,Xuất sắc
279,7.2,6.8,7.3,7.1,Trường THPT Bùi Thị Xuân,11.0,2,Khá
280,7.4,7.3,7.9,7.5,Trường THPT Trần Phú,7.0,2,Khá
281,7.0,6.6,7.0,6.9,Trường THPT Bùi Thị Xuân,11.0,2,Khá
282,9.8,9.7,9.9,9.8,Trường THPT Nguyễn Thị Minh Khai,15.0,0,Xuất sắc
283,5.5,4.7,5.7,5.3,Trường THPT Gia Định,17.0,4,Trung bình
284,4.4,3.2,4.2,3.9,Trường THCS Nguyễn Du,2.0,1,Yếu
285,4.1,4.9,5.1,4.7,Trường THPT Lê Quý Đôn,5.0,1,Yếu
286,7.2,6.8,7.8,7.3,Trường THPT Mạc Đĩnh Chi,3.0,2,Khá
287,8.2,8.0,8.2,8.1,Trường THCS Trần Văn Ơn,10.0,3,Giỏi
288,8.5,8.5,8.8,8.6,Trường THPT Nguyễn Hữu Huân,13.0,0,Xuất sắc
289,8.7,8.6,8.8,8.7,Trường THCS Lê Quý Đôn,18.0,0,Xuất sắc
290,7.6,7.8,8.3,7.9,Trường THCS Nguyễn Hữu Thọ,14.0,3,Giỏi
291,7.8,7.6,7.8,7.7,THPT Nguyễn Hữu Cầu,1.0,2,Khá
292,7.3,7.0,7.3,7.2,Trường THCS Trần Văn Ơn,10.0,2,Khá
293,6.3,5.5,5.9,5.9,Trường THCS Bạch Đằng,4.0,4,Trung bình
294,8.5,8.6,8.8,8.6,Trường THCS Hai Bà Trưng,12.0,0,Xuất sắc
295,5.6,5.8,6.4,5.9,Trường THPT Lê Quý Đôn,5.0,4,Trung bình
296,7.1,6.5,7.4,7.0,Trường THPT Gia Định,17.0,3,Giỏi
